wbs_path,task_code,task_name,task_type,duration_days,predecessor_code,rel_type,lag_days,constraint_type,constraint_date
施工准备,1100,开工里程碑,Milestone,0,,,,CS_MSO,2026-06-01
施工准备,1110,项目部组建、管理人员进场,Task,3,1100,FS,0,,
施工准备,1120,施工图纸会审、技术交底,Task,3,1110,FS,0,,
施工准备,1130,临时设施搭建(临建、临水、临电),Task,4,1100,FS,0,,
施工准备,1140,施工道路修筑及场地平整,Task,4,1100,FS,0,,
施工准备,1150,测量放线、控制网布设,Task,3,1100,FS,0,,
施工准备,1160,主吊设备租赁及进场报验,Task,7,1100,FS,0,,
施工准备,1170,材料采购计划及首批材料进场,Task,7,1100,FS,0,,
施工准备,1190,施工准备完成,Milestone,0,1120,FS,0,,
施工准备,1190,施工准备完成,Milestone,0,1130,FS,0,,
施工准备,1190,施工准备完成,Milestone,0,1140,FS,0,,
施工准备,1190,施工准备完成,Milestone,0,1150,FS,0,,
施工准备,1190,施工准备完成,Milestone,0,1160,FS,0,,
施工准备,1190,施工准备完成,Milestone,0,1170,FS,0,,
基础工程,2010,WT01风机基础,Task,35,1100,FS,0,,
基础工程,2015,WT02风机基础,Task,35,2010,SS,5,,
基础工程,2020,WT03风机基础,Task,35,2015,SS,5,,
基础工程,2025,WT04风机基础,Task,35,2020,SS,5,,
基础工程,2030,WT05风机基础,Task,35,1100,FS,0,,
基础工程,2035,WT06风机基础,Task,35,2030,SS,5,,
基础工程,2040,WT07风机基础,Task,35,2035,SS,5,,
基础工程,2045,WT08风机基础,Task,35,2040,SS,5,,
基础工程,2050,WT09风机基础,Task,35,1100,FS,0,,
基础工程,2055,WT10风机基础,Task,35,2050,SS,5,,
基础工程,2060,WT11风机基础,Task,35,2055,SS,5,,
基础工程,2065,WT12风机基础,Task,35,2060,SS,5,,
基础工程,2910,首台基础浇筑完成,Milestone,0,2010,FS,0,,
基础工程,2990,全部风机基础完成,Milestone,0,2025,FS,0,,
基础工程,2990,全部风机基础完成,Milestone,0,2045,FS,0,,
基础工程,2990,全部风机基础完成,Milestone,0,2065,FS,0,,
道路工程,3010,进场道路施工,Task,60,1140,FS,0,,
道路工程,3990,道路施工完成,Milestone,0,3010,FS,0,,
吊装工程,4010,主吊进场组装,Task,12,1190,FS,0,,
吊装工程,4010,主吊进场组装,Task,12,1160,FS,0,,
吊装工程,4020,吊装平台验收,Task,7,4010,FS,0,,
吊装工程,4020,吊装平台验收,Task,7,3010,FS,0,,
吊装工程,4110,WT01风机吊装,Task,14,4020,FS,8,,
吊装工程,4110,WT01风机吊装,Task,14,2010,FS,30,,
吊装工程,4115,WT02风机吊装,Task,14,4110,FS,7,,
吊装工程,4115,WT02风机吊装,Task,14,2015,FS,30,,
吊装工程,4120,WT03风机吊装,Task,14,4115,FS,7,,
吊装工程,4120,WT03风机吊装,Task,14,2020,FS,30,,
吊装工程,4125,WT04风机吊装,Task,14,4120,FS,7,,
吊装工程,4125,WT04风机吊装,Task,14,2025,FS,30,,
吊装工程,4130,WT05风机吊装,Task,14,4125,FS,7,,
吊装工程,4130,WT05风机吊装,Task,14,2030,FS,30,,
吊装工程,4135,WT06风机吊装,Task,14,4130,FS,7,,
吊装工程,4135,WT06风机吊装,Task,14,2035,FS,30,,
吊装工程,4140,WT07风机吊装,Task,14,4135,FS,7,,
吊装工程,4140,WT07风机吊装,Task,14,2040,FS,30,,
吊装工程,4145,WT08风机吊装,Task,14,4140,FS,7,,
吊装工程,4145,WT08风机吊装,Task,14,2045,FS,30,,
吊装工程,4150,WT09风机吊装,Task,14,4145,FS,7,,
吊装工程,4150,WT09风机吊装,Task,14,2050,FS,30,,
吊装工程,4155,WT10风机吊装,Task,14,4150,FS,7,,
吊装工程,4155,WT10风机吊装,Task,14,2055,FS,30,,
吊装工程,4160,WT11风机吊装,Task,14,4155,FS,7,,
吊装工程,4160,WT11风机吊装,Task,14,2060,FS,30,,
吊装工程,4165,WT12风机吊装,Task,14,4160,FS,7,,
吊装工程,4165,WT12风机吊装,Task,14,2065,FS,30,,
吊装工程,4910,首台风机吊装完成,Milestone,0,4110,SS,0,,
吊装工程,4990,全部风机吊装完成,Milestone,0,4165,FS,0,,
电气调试,5010,集电线路电缆敷设,Task,90,1190,SS,0,,
电气调试,5020,首台风机受电调试,Task,10,4990,FS,3,,
电气调试,5020,首台风机受电调试,Task,10,5010,FS,0,,
电气调试,5060,首台风机并网试验,Milestone,0,5020,FS,10,,
电气调试,5070,全部风机并网调试,Task,20,5060,FS,1,,
电气调试,5990,全部风机具备并网条件,Milestone,0,5070,FS,0,,
验收工程,6010,消缺整改,Task,20,5990,FS,0,,
验收工程,6020,竣工资料编制,Task,50,5990,FS,0,,
验收工程,6030,专项验收,Task,40,6010,SS,5,,
验收工程,6990,竣工验收,Task,10,6020,FS,0,,
验收工程,6990,竣工验收,Task,10,6030,FS,0,,
